goos: linux
goarch: amd64
pkg: gitlab.com/jhinrichsen/adventofcode2023
cpu: Intel(R) Core(TM) i7-14700K
BenchmarkDay04Part1V1-28    	    5983	    221290 ns/op	  128968 B/op	     807 allocs/op
BenchmarkDay04Part1V1-28    	    5649	    244263 ns/op	  128968 B/op	     807 allocs/op
BenchmarkDay04Part1V1-28    	    8792	    229519 ns/op	  128968 B/op	     807 allocs/op
BenchmarkDay04Part1V1-28    	    6102	    202864 ns/op	  128968 B/op	     807 allocs/op
BenchmarkDay04Part1V1-28    	    7893	    222657 ns/op	  128968 B/op	     807 allocs/op
BenchmarkDay04Part1V1-28    	    4749	    240608 ns/op	  128968 B/op	     807 allocs/op
BenchmarkDay04Part1V1-28    	    9366	    235769 ns/op	  128968 B/op	     807 allocs/op
BenchmarkDay04Part1-28      	   55034	     21431 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay04Part1-28      	   56048	     21277 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay04Part1-28      	   56028	     21106 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay04Part1-28      	   56582	     21400 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay04Part1-28      	   56002	     21211 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay04Part1-28      	   55800	     21143 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay04Part1-28      	   56278	     21126 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay04Part1-28      	   56412	     21110 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay04Part1-28      	   55767	     21148 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay04Part1-28      	   57266	     21109 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay04Part2-28      	   44887	     26726 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay04Part2-28      	   44642	     26599 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay04Part2-28      	   45054	     26658 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay04Part2-28      	   44787	     26651 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay04Part2-28      	   45152	     26570 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay04Part2-28      	   44823	     26609 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay04Part2-28      	   45175	     26528 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay04Part2-28      	   45325	     26611 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay04Part2-28      	   45511	     26559 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay04Part2-28      	   44798	     26555 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay05Part1-28      	   18967	     56153 ns/op	   38128 B/op	     934 allocs/op
BenchmarkDay05Part1-28      	   21266	     55777 ns/op	   38128 B/op	     934 allocs/op
BenchmarkDay05Part1-28      	   20078	     55634 ns/op	   38128 B/op	     934 allocs/op
BenchmarkDay05Part1-28      	   17466	     66893 ns/op	   38128 B/op	     934 allocs/op
BenchmarkDay05Part1-28      	   19976	     60339 ns/op	   38128 B/op	     934 allocs/op
