goos: linux
goarch: amd64
pkg: gitlab.com/jhinrichsen/adventofcode2023
cpu: Intel(R) Core(TM) i7-14700K
BenchmarkDay05Part2-28      	    3405	    365627 ns/op	  249528 B/op	    8266 allocs/op
BenchmarkDay05Part2-28      	    2751	    442066 ns/op	  249528 B/op	    8266 allocs/op
BenchmarkDay05Part2-28      	    4803	    488254 ns/op	  249528 B/op	    8266 allocs/op
BenchmarkDay05Part2-28      	    3612	    378627 ns/op	  249528 B/op	    8266 allocs/op
BenchmarkDay05Part2-28      	    3645	    421089 ns/op	  249528 B/op	    8266 allocs/op
BenchmarkDay06Part1-28      	74216338	        16.08 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay06Part1-28      	73342378	        16.05 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay06Part1-28      	76418815	        15.88 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay06Part1-28      	75719089	        15.88 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay06Part1-28      	75044186	        15.82 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay06Part1-28      	74914797	        15.86 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay06Part1-28      	76099393	        15.83 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay06Part1-28      	75966570	        15.82 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay06Part1-28      	74931717	        15.84 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay06Part1-28      	75425829	        15.94 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay06Part2-28      	283767181	         4.214 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay06Part2-28      	282917529	         4.224 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay06Part2-28      	286306231	         4.190 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay06Part2-28      	286522885	         4.195 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay06Part2-28      	281589907	         4.245 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay06Part2-28      	282912576	         4.222 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay06Part2-28      	280012712	         4.242 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay06Part2-28      	282447406	         4.236 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay06Part2-28      	283788802	         4.244 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay06Part2-28      	286038496	         4.212 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay07Part1-28      	   10000	    108394 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay07Part1-28      	   10000	    107703 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay07Part1-28      	    9949	    108210 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay07Part1-28      	    9958	    108033 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay07Part1-28      	   10000	    107822 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay07Part1-28      	    9876	    107923 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay07Part1-28      	   10000	    107534 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay07Part1-28      	   11110	    108086 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay07Part1-28      	   10000	    108427 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay07Part1-28      	   10000	    108277 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay07Part2-28      	    8961	    122601 ns/op	       0 B/op	       0 allocs/op
